"Sample Name"	"Protocol REF"	"Extract Name"	"Material Type"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Hybridization Assay Name"	"Array Design REF"	"Protocol REF"	"Array Data File"	"Protocol REF"	"Normalization Name"	"Factor Value[Gravitation]"	"Term Source REF"	"Term Accession Number"
"GSM266044"	"RNA extraction"	"GSM266044"	"total RNA"	""	""	"labeling"	"GSM266044"	"biotin"	""	""	"nucleic acid hybridization"	"GSM266044"	"GPL339"	"scan protocol"	"*GSM266044.CEL.gz"	"normalization data transformation"	"GSM266044"	"hindlimb suspension"	""	""
"GSM266045"	"RNA extraction"	"GSM266045"	"total RNA"	""	""	"labeling"	"GSM266045"	"biotin"	""	""	"nucleic acid hybridization"	"GSM266045"	"GPL339"	"scan protocol"	"*GSM266045.CEL.gz"	"normalization data transformation"	"GSM266045"	"hindlimb suspension"	""	""
"GSM266046"	"RNA extraction"	"GSM266046"	"total RNA"	""	""	"labeling"	"GSM266046"	"biotin"	""	""	"nucleic acid hybridization"	"GSM266046"	"GPL339"	"scan protocol"	"*GSM266046.CEL.gz"	"normalization data transformation"	"GSM266046"	"hindlimb suspension"	""	""
"GSM266047"	"RNA extraction"	"GSM266047"	"total RNA"	""	""	"labeling"	"GSM266047"	"biotin"	""	""	"nucleic acid hybridization"	"GSM266047"	"GPL339"	"scan protocol"	"*GSM266047.CEL.gz"	"normalization data transformation"	"GSM266047"	"hindlimb suspension"	""	""
"GSM266048"	"RNA extraction"	"GSM266048"	"total RNA"	""	""	"labeling"	"GSM266048"	"biotin"	""	""	"nucleic acid hybridization"	"GSM266048"	"GPL339"	"scan protocol"	"*GSM266048.CEL.gz"	"normalization data transformation"	"GSM266048"	"hindlimb suspension"	""	""
"GSM266049"	"RNA extraction"	"GSM266049"	"total RNA"	""	""	"labeling"	"GSM266049"	"biotin"	""	""	"nucleic acid hybridization"	"GSM266049"	"GPL339"	"scan protocol"	"*GSM266049.CEL.gz"	"normalization data transformation"	"GSM266049"	"animal enclosure module on earth"	""	""
"GSM266050"	"RNA extraction"	"GSM266050"	"total RNA"	""	""	"labeling"	"GSM266050"	"biotin"	""	""	"nucleic acid hybridization"	"GSM266050"	"GPL339"	"scan protocol"	"*GSM266050.CEL.gz"	"normalization data transformation"	"GSM266050"	"animal enclosure module on earth"	""	""
"GSM266051"	"RNA extraction"	"GSM266051"	"total RNA"	""	""	"labeling"	"GSM266051"	"biotin"	""	""	"nucleic acid hybridization"	"GSM266051"	"GPL339"	"scan protocol"	"*GSM266051.CEL.gz"	"normalization data transformation"	"GSM266051"	"animal enclosure module on earth"	""	""
"GSM266052"	"RNA extraction"	"GSM266052"	"total RNA"	""	""	"labeling"	"GSM266052"	"biotin"	""	""	"nucleic acid hybridization"	"GSM266052"	"GPL339"	"scan protocol"	"*GSM266052.CEL.gz"	"normalization data transformation"	"GSM266052"	"animal enclosure module on earth"	""	""
"GSM266053"	"RNA extraction"	"GSM266053"	"total RNA"	""	""	"labeling"	"GSM266053"	"biotin"	""	""	"nucleic acid hybridization"	"GSM266053"	"GPL339"	"scan protocol"	"*GSM266053.CEL.gz"	"normalization data transformation"	"GSM266053"	"spaceflight"	""	""
"GSM266054"	"RNA extraction"	"GSM266054"	"total RNA"	""	""	"labeling"	"GSM266054"	"biotin"	""	""	"nucleic acid hybridization"	"GSM266054"	"GPL339"	"scan protocol"	"*GSM266054.CEL.gz"	"normalization data transformation"	"GSM266054"	"spaceflight"	""	""
"GSM266055"	"RNA extraction"	"GSM266055"	"total RNA"	""	""	"labeling"	"GSM266055"	"biotin"	""	""	"nucleic acid hybridization"	"GSM266055"	"GPL339"	"scan protocol"	"*GSM266055.CEL.gz"	"normalization data transformation"	"GSM266055"	"spaceflight"	""	""
"GSM266056"	"RNA extraction"	"GSM266056"	"total RNA"	""	""	"labeling"	"GSM266056"	"biotin"	""	""	"nucleic acid hybridization"	"GSM266056"	"GPL339"	"scan protocol"	"*GSM266056.CEL.gz"	"normalization data transformation"	"GSM266056"	"spaceflight"	""	""
